name,gender,voice_languages,voicebank_types,voice_characteristics,vb_release_date,vb_last_update,creator_name,cover,
SUTORA KEIGA,MALE,JAPANESE,VCCV,,"January, 23, 2009",,0500(io),http://www.victorviale.com/imagesutau/Sutora_Keiga.jpg,BIEN
GII ARIYA,FEMALE,JAPANESE,Other,FALSETTO,"April 16, 2009",,Sekieki,http://www.victorviale.com/imagesutau/Gii_Ariya.jpg,BIEN
KOYO MAMENE,FEMALE,JAPANESE,VCV,,"April 19, 2010",,Mameneko,http://www.victorviale.com/imagesutau/Mamene_Koyo.jpg,BIEN
TSUKI KUMONO,MALE,JAPANESE,VCV,,"January 11, 2009",,Maya,http://www.victorviale.com/imagesutau/Tsuki_Kumono.jpg,PAS BIEN
MON MIRINE,FEMALE,JAPANESE,VCV,,"February, 11, 2009",,montan,http://www.victorviale.com/imagesutau/Mon_Mirine.jpg,PAS BIEN
MERU UTAKA,FEMALE,JAPANESE,VCV,,"October 20, 2011",,Aeri/Mel,http://www.victorviale.com/imagesutau/Meru_Utaka.jpg,BIEN
MERLOT SHIRASAGI,MALE,JAPANESE,VCV,,"August 20, 2009",,Kiryuu,http://www.victorviale.com/imagesutau/Merlot_Shirasagi.jpg,PAS BIEN
MELLOWLY SHIRASAGI,FEMALE,JAPANESE,VCV,,"August 20, 2009",,Kiryuu,http://www.victorviale.com/imagesutau/Mellowly_Shirasagi.jpg,BIEN
LEEDS KASUMIGA,FEMALE,JAPANESE,VCV,,"January 01, 2008",,Piyokoma,http://www.victorviale.com/imagesutau/Leeds_Kasumiga.jpg,BIEN
LOOP KASUMIGA,MALE,JAPANESE,VCV,,"January 01, 2004",,Piyokoma,http://www.victorviale.com/imagesutau/Loop.jpg,BIEN
NANA MITANI,FEMALE,JAPANESE,CV,,"April 1, 2010",,k-shi studio,http://www.victorviale.com/imagesutau/Nana_Mitani.jpg,PAS BIEN
NATSUKI NANTO,FEMALE,JAPANESE,VCV,,,,Utinoneko,http://www.victorviale.com/imagesutau/Natsuki_Nanto.jpg,BIEN
N~NYAN,MALE,JAPANESE,VCV,,,,Utinoneko,http://www.victorviale.com/imagesutau/Nnyan.jpg,BIEN
HITO UZNE,OTHER,JAPANESE,VCV,,"August 11, 2009",,Mikan Futsuujin,http://www.victorviale.com/imagesutau/Hito_Uzne.jpg,BIEN
TEIRA,FEMALE,JAPANESE,CV,,"January 17, 2010",,6410,http://www.victorviale.com/imagesutau/Teira.jpg,BIEN
NATSU MIZUKA,FEMALE,JAPANESE,VCV,,"July 2, 2010",,Natsuru Minamori,http://www.victorviale.com/imagesutau/Natsu_Mizuka.jpg,BIEN
BOUSHI RINGO,FEMALE,JAPANESE,Other,,,,,http://www.victorviale.com/imagesutau/Boushi_Ringo.jpg,PAS BIEN
KAZUMI HIRAGI,FEMALE,JAPANESE,VCV,,"December 17, 2009",,Sangyou,http://www.victorviale.com/imagesutau/Kazumi_Hiragi.jpg,PAS BIEN
